#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-38.0,23,22.926711
-87.0,22,22.948637
-34.0,19,22.969581
-33.0,18,22.987532
30.0,5,22.992518
-56.0,21,23.016454
14.0,11,23.028424
-27.0,22,23.050366
-65.0,20,23.072305
1.0,14,23.088254
21.0,4,23.093243
-31.0,16,23.110204
-42.0,17,23.13015
-13.0,18,23.154086
-10.0,15,23.171008
-66.0,21,23.194948
-53.0,18,23.218913
-55.0,20,23.241852
-63.0,18,23.259805
24.0,11,23.27473
-55.0,20,23.297706
-107.0,22,23.321649
-68.0,23,23.348567
-55.0,20,23.370474
-32.0,17,23.388426
-56.0,21,23.410401
-11.0,16,23.427357
-100.0,25,23.457275
-100.0,25,23.487161
-40.0,15,23.505148
21.0,14,23.522103
-32.0,17,23.543046
-16.0,11,23.556012
0.0,15,23.572967
-79.0,24,23.599897
-52.0,17,23.617813
-45.0,20,23.63979
-42.0,17,23.657732
-56.0,21,23.685665
-119.0,24,23.711597
-28.0,13,23.727555
-10.0,15,23.751456
-11.0,16,23.772433
-29.0,14,23.789388
15.0,10,23.801356
-94.0,19,23.823299
-100.0,25,23.850226
-66.0,21,23.873164
-22.0,17,23.891117
-55.0,20,23.913057
-94.0,19,23.934
-49.0,14,23.949926
15.0,10,23.960896
-118.0,23,23.986828
-31.0,16,24.003782
-78.0,23,24.028715
-43.0,18,24.050657
5.0,10,24.061627
-83.0,18,24.083569
-12.0,17,24.102518
-128.0,23,24.129446
